カテゴリー,事例名,AIがしていること（具体例）,適用業務・シーン,期待効果,URL,出典・備考
資料,仕様書・設計書作成（arXiv版）,仕様書・設計書のドラフトを生成、既存文書を要約・整理,文書作成全般,主要編集者としての文書完了が平均0.5日早い、定常利用者ではほぼ1日早い,https://ar5iv.labs.arxiv.org/html/2504.11443,Microsoft Research：arXiv版
資料,文書ドラフト作成（英国政府）,文書ドラフト作成、要約・整理,文書作成全般,1日あたり24分の時間削減,https://www.gov.uk/government/publications/microsoft-365-copilot-experiment-cross-government-findings-report/microsoft-365-copilot-experiment-cross-government-findings-report-html,英国政府：Cross-Government Findings Report
資料,Word→PowerPoint変換（Prague Airport）,Word→PowerPoint生成、プレゼン資料作成,プレゼン資料作成,週あたり最大2時間の削減,https://www.microsoft.com/en/customers/story/24667-prague-airport-microsoft-365-copilot/,Prague Airport：300人超に提供
資料,プレゼン作成（英国政府）,プレゼンテーション作成支援,プレゼン資料作成,1日あたり19分の時間削減,https://www.gov.uk/government/publications/microsoft-365-copilot-experiment-cross-government-findings-report/microsoft-365-copilot-experiment-cross-government-findings-report-html,英国政府：Cross-Government Findings Report
資料,大量資料検索（DeNA）,Googleドライブに保存したPDFをAI（Gemini）で開き、「〇〇の条件について書いてある場所はどこ？」と質問,資料検索、法律・ガイドライン理解,資料作成を効率化、参照を高速化,https://internet.watch.impress.co.jp/docs/yajiuma/2074241.html,DeNA AI活用100本ノック001本目
資料,大量資料検索（DeNA詳細）,NotebookLMを活用してWebサイトの参照を高速化、法律やガイドラインの理解を深める,資料検索、法律・ガイドライン理解,資料作成を効率化,https://jacky-webworks.com/ai/dena-ai-100-tips/,DeNA AI活用100本ノック001本目詳細
レビュー,設計データ・仕様書レビュー（トヨタ自動車）,AI画像検査でAT部品の目視検査を完全自動化,製造業の品質検査,見逃し率0%、検査の完全自動化,https://exawizards.com/column/article/ai/ai-cases-of-manufacturing/,トヨタ自動車：製造業AI活用事例
レビュー,契約書・規程レビュー（Vodafone）,法務チームで契約書等の文書要約・レビュー迅速化,法務、契約書レビュー,1人あたり週4時間の時間削減、法務部門の分析として平均で週4時間削減,https://www.microsoft.com/en/customers/story/19346-vodafone-microsoft-365-copilot,Vodafone：試行300人→拡大68,000人
レビュー,校正・誤字脱字チェック（DeNA）,50枚超のスライドの誤字脱字や固有名詞チェックを数分で完了,資料校正、品質チェック,校正作業を効率化、数分で完了,https://internet.watch.impress.co.jp/docs/yajiuma/2074241.html,DeNA AI活用100本ノック053本目
レビュー,校正・誤字脱字チェック（DeNA詳細）,GeminiのGem機能を使って、50枚超のスライドの誤字脱字や固有名詞チェックを数分で完了,資料校正、品質チェック,校正支援、数分で完了,https://jacky-webworks.com/ai/dena-ai-100-tips/,DeNA AI活用100本ノック053本目詳細
全般（翻訳）,多言語翻訳（住友商事）,Teams会議でのリアルタイム翻訳・要約、多言語対応,グローバルチーム、海外展開,月間アクティブユーザー率70%、業務時間削減10,560時間/月,https://www.microsoft.com/ja-jp/customers/story/1799870297941010991-sumitomo-corporation-azure-ai-studio-professional-services-ja-japan,住友商事：大規模Copilot展開事例
全般（翻訳）,多言語翻訳（住友商事詳細）,Teams会議でのリアルタイム翻訳・要約、Outlookメール作成支援,グローバルチーム、海外展開,契約書チェック時間を3分の1に短縮、年間12億円のコスト削減見込み,https://engagesq.com/ja/our-work/case-studies/sc-copilot-jp/,住友商事：詳細事例
全般（検索）,SharePoint横断検索（Capita）,SharePoint横断検索のエージェント（AMA）構築、手作業検索を減らす,社内情報検索、規程確認,月あたり9,000時間の削減、アクセシビリティ/インクルージョンへの寄与,https://www.microsoft.com/en/customers/story/24350-capita-microsoft-365-copilot/,Capita：3,000ライセンス展開
全般（検索）,大量資料検索（DeNA）,Googleドライブに保存したPDFをAI（Gemini）で開き、「〇〇の条件について書いてある場所はどこ？」と質問,資料検索、法律・ガイドライン理解,資料作成を効率化、参照を高速化,https://internet.watch.impress.co.jp/docs/yajiuma/2074241.html,DeNA AI活用100本ノック001本目
全般（検索）,社内規程・手順検索（Ma'aden）,Copilot Studioでガバナンス文書や権限委譲ポリシー向けのエージェントを開発、Teamsに統合,社内規程検索、ガバナンス文書検索,初期フェーズだけで36,600回超のインタラクション、月あたり最大2,200時間の削減,https://www.microsoft.com/en/customers/story/21514-maaden-microsoft-365-copilot,Ma'aden：Microsoft 365 Copilot導入事例
全般（検索）,社内規程・手順検索（Prague Airport）,部門特化のAIエージェント（SharePointのAI agent等）を作り、手順書・規程をチャットで引ける形に,社内規程検索、手順書検索,週あたり最大2時間の削減,https://www.microsoft.com/en/customers/story/24667-prague-airport-microsoft-365-copilot/,Prague Airport：300人超に提供
その他,会議議事録作成（DeNA）,Google Meetの議事録を再要約し、Slackへの共有までをGASで自動化,会議議事録作成、情報共有,議事録作成の工数を削減、自動化,https://internet.watch.impress.co.jp/docs/yajiuma/2074241.html,DeNA AI活用100本ノック037本目
その他,会議議事録作成（DeNA詳細）,Vertex AIとGeminiを活用してGoogle Meetの議事録を再要約し、Slackへの共有までをGASで自動化,会議議事録作成、情報共有,議事録作成の工数を削減、自動化,https://jacky-webworks.com/ai/dena-ai-100-tips/,DeNA AI活用100本ノック037本目詳細
その他,石油化学プラント自動運転（横河電機）,AIで石油化学プラントを35日間連続自動運転,製造業の自動運転,35日間連続自動運転を実現,https://exawizards.com/column/article/ai/ai-cases-of-manufacturing/,横河電機：製造業AI活用事例
その他,日立製作所生成AIセンター,社内で生まれた1,000件以上のユースケースを横展開,全社的なAI活用推進,1,000件以上のユースケースを横展開、知見の蓄積と共有による効率化,https://japan.zdnet.com/article/35218511/,日立製作所：生成AIセンター設置事例
その他,パナソニック大規模AI導入,9万人の従業員向けに社内版ChatGPTを提供,全社的なAI活用推進,年間186,000時間の業務時間削減、モーター設計で出力15%向上,https://xtech.nikkei.com/atcl/nxt/news/24/01061/,パナソニック：大規模AI導入事例
その他,デンソーMicrosoft 365 Copilot導入,全社的なパイロット導入、従業員全体を対象,全社的なAI活用推進,従業員1人あたり月平均12時間の業務時間削減、PowerPoint資料作成の構成案自動生成が高評価,https://www.microsoft.com/ja-jp/customers/story/19426-denso-corporation-microsoft-365-copilot,デンソー：Microsoft 365 Copilot導入事例
その他,富士通国内最大級導入,国内グループ約8万人を対象,全社的なAI活用推進,コード自動生成・レビュー機能の活用、提案書・メールドラフト作成の支援,https://taskhub.jp/useful/2024-copilot-introduce-case/,富士通：国内最大級の導入事例
その他,九電グループ段階的展開,PoC（実証実験）からのスタート：400名→1,800名→全社約1万人,段階的なAI活用展開,最大9.9％の業務時間削減、全組織に1名以上の利用者、「Copilotチャレンジカップ」で83件の応募,社内資料：docks/reports/research/02_secretariat_resource_research_2.md,九電グループ：段階的展開で浸透率向上

